open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA200,MACD_Long,MACD_Long_Signal
2025-04-13,85237.9,86100.0,82991.5,83713.7,207038.38,17457668000.0,3377742.0,104685.13,8828549000.0,83200.7,85747.516,,-859.7812,-1283.0809,423.29977,50.567425,48.805252,89023.234,83200.7,77378.18,107785.336,91801.89,75818.445,68.738396,60.069153,2161615.2,4130.497,3997.834,1.0331837,15.846041,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-1737.2273,-2028.9219
2025-04-14,83713.8,85755.0,83630.9,84553.9,209349.36,17726845000.0,3632120.0,105627.16,8944537000.0,83062.16,85546.28,,-628.04584,-1152.074,524.0281,51.99426,49.818493,88604.06,83062.16,77520.25,107661.76,91665.695,75669.64,71.52888,66.382225,2370964.5,3987.183,3960.3594,1.006773,15.013904,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-1561.5459,-1935.4467
2025-04-15,84553.9,86443.0,83560.0,83608.7,184522.19,15709861000.0,3121181.0,92743.664,7897739000.0,82883.055,85310.11,,-514.7302,-1024.6052,509.87497,50.23749,48.680416,88089.484,82883.055,77676.625,107537.18,91518.38,75499.586,67.66194,69.30974,2186442.5,3908.3127,3938.8123,0.9922567,14.511988,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-1450.7906,-1838.5155
2025-04-16,83608.6,85493.5,83063.9,83990.0,209441.42,17600465000.0,3500261.0,104313.04,8765949000.0,82745.734,85050.78,,-389.66718,-897.61755,507.9504,50.957375,49.172245,87668.266,82745.734,77823.2,107279.8,91336.48,75393.164,72.20116,70.46399,2395883.8,3802.6904,3908.628,0.9728965,13.815973,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-1329.7759,-1736.7676
2025-04-17,83990.1,85441.5,83700.0,84915.0,141033.19,11925437000.0,2398235.0,72010.55,6090740000.0,82637.34,84846.914,,-213.45348,-760.7847,547.3313,52.743366,50.38346,87254.32,82637.34,78020.37,107170.55,91216.43,75262.305,77.31846,72.39385,2536917.0,3655.4626,3865.2854,0.9457161,13.169675,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-1173.4094,-1624.096
2025-04-18,84914.9,85100.0,84260.0,84421.0,55218.844,4669701000.0,1026255.0,27406.678,2318092000.0,82639.26,84627.234,,-112.36921,-631.1016,518.7324,51.66133,49.719078,87259.16,82639.26,78019.36,107102.97,91110.49,75118.016,83.30553,77.608376,2481698.2,3454.3582,3804.7798,0.9078997,12.569541,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-1058.5491,-1510.9866
2025-04-19,84421.0,85600.0,84317.2,85046.9,73380.56,6243873300.0,1278384.0,37104.344,3157190000.0,82755.555,84424.12,,18.037773,-501.27377,519.3115,52.97759,50.585938,87487.7,82755.555,78023.4,107071.17,91035.91,75000.64,86.24479,82.28959,2555078.8,3299.2468,3754.34,0.8787821,12.258309,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-923.75574,-1393.5404
2025-04-20,85046.9,85283.6,83900.0,85138.8,90651.82,7672459000.0,1426040.0,44964.07,3805208800.0,82888.22,84308.195,,127.333984,-375.55222,502.8862,53.179188,50.716927,87722.87,82888.22,78053.57,107001.5,90940.54,74879.57,86.86718,85.472496,2645730.5,3162.415,3706.9253,0.85310996,11.725999,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-799.29364,-1274.691
2025-04-21,85138.9,88418.2,85100.0,87466.0,274069.88,23894438000.0,3962240.0,142309.19,12402164000.0,83123.86,84286.87,,397.1594,-221.00989,618.1693,58.080326,53.961937,88331.28,83123.86,77916.445,106928.61,90869.57,74810.54,90.19701,87.76965,2919800.5,3173.5425,3699.151,0.8579111,12.612011,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-572.52203,-1134.2572
2025-04-22,87466.0,94142.5,87017.5,93404.9,334005.1,30146810000.0,4829876.0,177605.55,16036484000.0,83518.336,84454.07,,1077.7935,38.750774,1039.0427,67.44567,60.866398,90290.96,83518.336,76745.72,106909.234,90858.625,74808.016,92.82286,89.96235,3253805.5,3455.7893,3767.6677,0.91722244,14.980955,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,-78.824745,-923.1708
